name,coverage_cutoff,percent_cutoff,segment,segment_length,input_length,filtered_length,percentage,pass,median_coverage,mean_coverage
New_Sm18_1975_d08_rep2,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,14.0,19.87543859649123
New_Sp19_2251_d12_rep1,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,0.0
New_Sm18_1980_d12_rep2,200,0.95,H9N2_PB2,2280,2280,68,0.02982456140350877,NO,0.0,18.5890350877193
New_W17_1408_d02_rep1,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,3517.0,4336.717543859649
New_Sp20_2868_d12_rep1,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,0.7789473684210526
New_Sm18_1980_d06_rep2,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,7246.5,7027.478947368421
New_Sp19_2231_d12_rep2,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,0.506140350877193
New_W17_1415_d06_rep1,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,1.0473684210526315
New_Sp19_2253_d10_rep1,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,16.0,25.156140350877195
New_P2_MRTPCR_Water_rep2,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,0.0
New_Sm18_1973_d02_rep2,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,7435.0,7351.456140350877
New_W17_1408_d02_rep2,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,3148.5,4289.362719298246
New_Sp19_2235_d04_rep1,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,7.077192982456141
New_Sp19_2233_d04_rep2,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,5289.0,5599.851315789474
New_Sp19_2234_d04_rep2,200,0.95,H9N2_PB2,2280,2280,996,0.4368421052631579,NO,95.0,1226.8048245614036
New_Sp20_2867_d08_rep1,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,1.0978070175438597
New_W17_1408_d06_rep1,200,0.95,H9N2_PB2,2280,2280,873,0.3828947368421053,NO,115.0,1332.802192982456
New_Sm18_1975_d04_rep1,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,8492.0,8279.604385964913
ReSeq_W17_HK1073_rep1,200,0.95,H9N2_PB2,2280,2280,1282,0.5622807017543859,NO,232.0,3958.865350877193
New_Sm18_1977_d08_rep2,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,21.0,21.473684210526315
New_Sp19_2232_d12_rep2,200,0.95,H9N2_PB2,2280,2280,17,0.007456140350877193,NO,39.0,70.49385964912281
New_F17_1800_d08_rep2,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,4.0,15.79780701754386
New_Sp19_2251_d10_rep1,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,2.526315789473684
New_Sp19_2239_d04_rep1,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,4354.0,3871.1526315789474
New_Sm18_1977_d06_rep1,200,0.95,H9N2_PB2,2280,2280,717,0.3144736842105263,NO,178.0,208.52719298245614
New_Sp19_2233_d04_rep1,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,6183.0,6282.105263157895
New_Sm18_1975_d10_rep2,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,10.666666666666666
New_Sm18_1977_d10_rep1,200,0.95,H9N2_PB2,2280,2280,78,0.034210526315789476,NO,0.0,27.857894736842105
New_P2_3918_Uninfected_rep2,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,0.0
New_Sm18_1986_d02_rep1,200,0.95,H9N2_PB2,2280,2280,2266,0.993859649122807,YES,805.0,799.3618421052631
New_W17_1408_d12_rep1,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,6.360526315789474
New_Sp19_2254_d12_rep1,200,0.95,H9N2_PB2,2280,2280,2272,0.9964912280701754,YES,1244.0,1105.4473684210527
New_Sp19_2243_d10_rep1,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,0.14298245614035088
New_F17_1794_d04_rep1,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,10178.0,9251.357456140351
New_Sp19_2239_d12_rep2,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,57.0,53.98157894736842
New_FCC_2232_d04_rep2,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,15437.5,13791.822807017545
New_W17_1410_d04_rep1,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,1001.5,1973.2302631578948
New_Sm18_1974_d04_rep2,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,4250.5,5084.590789473684
New_W17_1410_d08_rep1,200,0.95,H9N2_PB2,2280,2280,45,0.019736842105263157,NO,0.0,21.142982456140352
New_FCC_1787_d02_rep1,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,12543.0,11757.972368421053
New_Sm18_1980_d04_rep1,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,9407.5,8389.053508771929
New_W17_1414_d06_rep1,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,9616.0,9362.099122807018
